id|naam|bevoegdeAuthoriteit
255|Investeringssubsidies BW|OVO000076
256|Sociale werkplaatsen|OVO000076
257|Collectief maatwerk|OVO000076
258|Individueel maatwerk|OVO000076
259|Lokale diensteneconomie|OVO000076
260|Arbeidszorg|OVO000076
261|SINE|OVO000076
262|Invoegbedrijven|OVO000076
263|VIA|OVO000076
264|ERSV|OVO000076
265|Activiteitencooperaties|OVO000076
266|Adviespremies|OVO000076
267|Regierol|OVO000076
268|BNCTO / Tracé|OVO000076
269|Ondernemerschap & MVO (S)|OVO000076
270|Ondernemerschap & MVO (OH)|OVO000076
271|Loopbaan en diversiteit|OVO000076
272|Focus op talent (S)|OVO000076
273|Focus op talent (OH)|OVO000076
274|Activa-uitkeringen (uitdovend)|OVO000076
275|Werkhervattingstoeslag (uitdovend)|OVO000076
276|Doelgroepkorting Gesco's SW|OVO000076
277|Loopbaanonderbreking (uitdovend)|OVO000076
278|Ondersteuning tewerkstellingsbeleid (onderzoek)|OVO000076
279|Leningen hernieuwbare energie|OVO000076
